				Act.	F'cast	Prior	Rev.	
Wed, Jun 25, 2014	16:30	US	US DOE Refinery Utilization	1.4	0.5	-0.8		Chart
Wed, Jun 18, 2014	16:30	US	US DOE Crude Oil Inventories	-579	-750	-2596		Chart
Wed, Jun 18, 2014	16:30	US	US DOE Distillate Inventories	436	350	860		Chart
Wed, Jun 18, 2014	16:30	US	US DOE Gasoline Inventories	785	-550	1697		Chart
Wed, Jun 18, 2014	16:30	US	US DOE Refinery Utilization	-0.8	0.7	-2.9		Chart
Wed, Jun 11, 2014	16:30	US	US DOE Crude Oil Inventories	-2596	-2000	-3431		Chart
Wed, Jun 11, 2014	16:30	US	US DOE Distillate Inventories	860	1000	2012		Chart
Wed, Jun 11, 2014	16:30	US	US DOE Gasoline Inventories	1697	1000	210		Chart
Wed, Jun 11, 2014	16:30	US	US DOE Refinery Utilization	-2.9	0.25	0.9		Chart
Wed, Jun 04, 2014	16:30	US	US DOE Crude Oil Inventories	-3431	-250	1657		Chart
Wed, Jun 04, 2014	16:30	US	US DOE Distillate Inventories	2012	900	-196		Chart
Wed, Jun 04, 2014	16:30	US	US DOE Gasoline Inventories	210	400	-1803		Chart
Wed, Jun 04, 2014	16:30	US	US DOE Refinery Utilization	0.9	0.5	1.2		Chart
Thu, May 29, 2014	17:00	US	US DOE Crude Oil Inventories	1657	500	-7226		Chart
Thu, May 29, 2014	17:00	US	US DOE Distillate Inventories	-196	500	3399		Chart
Thu, May 29, 2014	17:00	US	US DOE Gasoline Inventories	-1803	0	970		Chart
Thu, May 29, 2014	17:00	US	US DOE Refinery Utilization	1.2	0.5	-0.1		Chart
Wed, May 21, 2014	16:30	US	US DOE Crude Oil Inventories	-7226	0	947		Chart
Wed, May 21, 2014	16:30	US	US DOE Distillate Inventories	3399	-500	-1124		Chart
Wed, May 21, 2014	16:30	US	US DOE Gasoline Inventories	970	0	-772		Chart
Wed, May 21, 2014	16:30	US	US DOE Refinery Utilization	-0.1	0.45	-1.4		Chart
Wed, May 14, 2014	16:30	US	US DOE Crude Oil Inventories	947	0	-1781		Chart
Wed, May 14, 2014	16:30	US	US DOE Distillate Inventories	-1124	500	-447		Chart
Wed, May 14, 2014	16:30	US	US DOE Gasoline Inventories	-772	300	1608		Chart
Wed, May 14, 2014	16:30	US	US DOE Refinery Utilization	-1.4	0.5	-0.8		Chart
Wed, May 07, 2014	16:30	US	US DOE Crude Oil Inventories	-1781	1250	1698		Chart
Wed, May 07, 2014	16:30	US	US DOE Distillate Inventories	-447	750	1936		Chart
Wed, May 07, 2014	16:30	US	US DOE Gasoline Inventories	1608	500	1564		Chart
Wed, May 07, 2014	16:30	US	US DOE Refinery Utilization	-0.8	0.5	0		Chart
Wed, Apr 30, 2014	16:30	US	US DOE Crude Oil Inventories	1698	2200	3524		Chart
Wed, Apr 30, 2014	16:30	US	US DOE Distillate Inventories	1936	500	597		Chart
Wed, Apr 30, 2014	16:30	US	US DOE Gasoline Inventories	1564	-900	-274		Chart
Wed, Apr 30, 2014	16:30	US	US DOE Refinery Utilization	0	0.5	2.2		Chart
Wed, Apr 23, 2014	16:30	US	US DOE Crude Oil Inventories	3524	3000	10013		Chart
Wed, Apr 23, 2014	16:30	US	US DOE Distillate Inventories	597	-300	-1278		Chart
Wed, Apr 23, 2014	16:30	US	US DOE Gasoline Inventories	-274	-1650	-154		Chart
Wed, Apr 23, 2014	16:30	US	US DOE Refinery Utilization	2.2	0.2	1.3		Chart
Wed, Apr 16, 2014	16:30	US	US DOE Crude Oil Inventories	10013	1750	4030		Chart
Wed, Apr 16, 2014	16:30	US	US DOE Distillate Inventories	-1278	0	239		Chart
Wed, Apr 16, 2014	16:30	US	US DOE Gasoline Inventories	-154	-1750	-5188		Chart
Wed, Apr 16, 2014	16:30	US	US DOE Refinery Utilization	1.3	0	-0.2		Chart
Wed, Apr 09, 2014	16:30	US	US DOE Crude Oil Inventories	4030	750	-2379		Chart
Wed, Apr 09, 2014	16:30	US	US DOE Distillate Inventories	239	-250	554		Chart
Wed, Apr 09, 2014	16:30	US	US DOE Gasoline Inventories	-5188	-1000	-1574		Chart
Wed, Apr 09, 2014	16:30	US	US DOE Refinery Utilization	-0.2	0.2	1.7		Chart
Wed, Apr 02, 2014	16:30	US	US DOE Crude Oil Inventories	-2379	2500	6619		Chart
Wed, Apr 02, 2014	16:30	US	US DOE Distillate Inventories	554	0	1555		Chart
Wed, Apr 02, 2014	16:30	US	US DOE Gasoline Inventories	-1574	-2000	-5101		Chart
Wed, Apr 02, 2014	16:30	US	US DOE Refinery Utilization	1.7	0.35	0.4		Chart
Wed, Mar 26, 2014	15:30	US	US DOE Crude Oil Inventories	6619	2500	5850		Chart
Wed, Mar 26, 2014	15:30	US	US DOE Distillate Inventories	1555	-1380	-3097		Chart
Wed, Mar 26, 2014	15:30	US	US DOE Gasoline Inventories	-5101	-1500	-1467		Chart
Wed, Mar 26, 2014	15:30	US	US DOE Refinery Utilization	0.4	0.55	-0.4		Chart
Wed, Mar 19, 2014	15:30	US	US DOE Crude Oil Inventories	5850	2750	6180		Chart
Wed, Mar 19, 2014	15:30	US	US DOE Distillate Inventories	-3097	-800	-533		Chart
Wed, Mar 19, 2014	15:30	US	US DOE Gasoline Inventories	-1467	-1550	-5230		Chart
Wed, Mar 19, 2014	15:30	US	US DOE Refinery Utilization	-0.4	-0.5	-1.4		Chart
Wed, Mar 12, 2014	15:30	US	US DOE Crude Oil Inventories	6180	2000	1429		Chart
Wed, Mar 12, 2014	15:30	US	US DOE Distillate Inventories	-533	-450	1414		Chart
Wed, Mar 12, 2014	15:30	US	US DOE Gasoline Inventories	-5230	-2000	-1604		Chart
Wed, Mar 12, 2014	15:30	US	US DOE Refinery Utilization	-1.4	0	-0.6		Chart
Wed, Mar 05, 2014	16:30	US	US DOE Crude Oil Inventories	1429	1300	68		Chart
Wed, Mar 05, 2014	16:30	US	US DOE Distillate Inventories	1414	-1000	338		Chart
Wed, Mar 05, 2014	16:30	US	US DOE Gasoline Inventories	-1604	-1000	-2807		Chart
Wed, Mar 05, 2014	16:30	US	US DOE Refinery Utilization	-0.6	-0.3	1.2		Chart
Wed, Feb 26, 2014	16:30	US	US DOE Crude Oil Inventories	68	1275	973		Chart
Wed, Feb 26, 2014	16:30	US	US DOE Distillate Inventories	338	-1250	-339		Chart
Wed, Feb 26, 2014	16:30	US	US DOE Gasoline Inventories	-2807	-1000	309		Chart
Wed, Feb 26, 2014	16:30	US	US DOE Refinery Utilization	1.2	0	-0.3		Chart
Thu, Feb 20, 2014	17:00	US	US DOE Crude Oil Inventories	973	2250	3267		Chart
Thu, Feb 20, 2014	17:00	US	US DOE Distillate Inventories	-339	-2100	-731		Chart
Thu, Feb 20, 2014	17:00	US	US DOE Gasoline Inventories	309	-850	-1853		Chart
Thu, Feb 20, 2014	17:00	US	US DOE Refinery Utilization	-0.3	-0.5	1		Chart
Wed, Feb 12, 2014	16:30	US	US DOE Crude Oil Inventories	3267	2600	440		Chart
Wed, Feb 12, 2014	16:30	US	US DOE Distillate Inventories	-731	-2125	-2360		Chart
Wed, Feb 12, 2014	16:30	US	US DOE Gasoline Inventories	-1853	100	505		Chart
Wed, Feb 12, 2014	16:30	US	US DOE Refinery Utilization	1	-0.5	-2.1		Chart
Wed, Feb 05, 2014	16:30	US	US DOE Crude Oil Inventories	440	2550	6421		Chart
Wed, Feb 05, 2014	16:30	US	US DOE Distillate Inventories	-2360	-2500	-4584		Chart
Wed, Feb 05, 2014	16:30	US	US DOE Gasoline Inventories	505	1150	-819		Chart
Wed, Feb 05, 2014	16:30	US	US DOE Refinery Utilization	-2.1	-0.1	1.7		Chart
Wed, Jan 29, 2014	16:30	US	US DOE Crude Oil Inventories	6421	2250	990		Chart
Wed, Jan 29, 2014	16:30	US	US DOE Distillate Inventories	-4584	-2550	-3212		Chart
Wed, Jan 29, 2014	16:30	US	US DOE Gasoline Inventories	-819	1600	2123		Chart
Wed, Jan 29, 2014	16:30	US	US DOE Refinery Utilization	1.7	0.85	-3.5		Chart
Thu, Jan 23, 2014	17:00	US	US DOE Crude Oil Inventories	990	1150	-7658		Chart
Thu, Jan 23, 2014	17:00	US	US DOE Distillate Inventories	-3212	-500	-1023		Chart
Thu, Jan 23, 2014	17:00	US	US DOE Gasoline Inventories	2123	1750	6183		Chart
Thu, Jan 23, 2014	17:00	US	US DOE Refinery Utilization	-3.5	-0.5	-2.3		Chart
Wed, Jan 15, 2014	16:30	US	US DOE Crude Oil Inventories	-7658	-1300	-2675		Chart
Wed, Jan 15, 2014	16:30	US	US DOE Distillate Inventories	-1023	1250	5826		Chart
Wed, Jan 15, 2014	16:30	US	US DOE Gasoline Inventories	6183	2500	6243		Chart
Wed, Jan 15, 2014	16:30	US	US DOE Refinery Utilization	-2.3	-0.4	-0.1		Chart
Wed, Jan 08, 2014	16:30	US	US DOE Crude Oil Inventories	-2675	-2750	-7007		Chart
Wed, Jan 08, 2014	16:30	US	US DOE Distillate Inventories	5826	2250	5042		Chart
Wed, Jan 08, 2014	16:30	US	US DOE Gasoline Inventories	6243	2500	844		Chart
Wed, Jan 08, 2014	16:30	US	US DOE Refinery Utilization	-0.1	0.25	-0.3		Chart
Fri, Jan 03, 2014	17:00	US	US DOE Crude Oil Inventories	-7007	-2825	-4731		Chart
Fri, Jan 03, 2014	17:00	US	US DOE Distillate Inventories	5042	750	-1850		Chart
Fri, Jan 03, 2014	17:00	US	US DOE Gasoline Inventories	844	1375	-614		Chart
Fri, Jan 03, 2014	17:00	US	US DOE Refinery Utilization	-0.3	0	1.2		Chart
Fri, Dec 27, 2013	17:00	US	US DOE Crude Oil Inventories	-4731	-2650	-2941		Chart
Fri, Dec 27, 2013	17:00	US	US DOE Distillate Inventories	-1850	-1000	-2110		Chart
Fri, Dec 27, 2013	17:00	US	US DOE Gasoline Inventories	-614	1100	1337		Chart
Fri, Dec 27, 2013	17:00	US	US DOE Refinery Utilization	1.2	-0.1	-1.1		Chart
Wed, Dec 18, 2013	16:30	US	US DOE Crude Oil Inventories	-2941	-3500	-10585		Chart
Wed, Dec 18, 2013	16:30	US	US DOE Distillate Inventories	-2110	0	4541		Chart
Wed, Dec 18, 2013	16:30	US	US DOE Gasoline Inventories	1337	1500	6717		Chart
Wed, Dec 18, 2013	16:30	US	US DOE Refinery Utilization	-1.1	0.1	0.2		Chart
Wed, Dec 11, 2013	16:30	US	US DOE Crude Oil Inventories	-10585	-3000	-5585		Chart
Wed, Dec 11, 2013	16:30	US	US DOE Distillate Inventories	4541	1550	2649		Chart
Wed, Dec 11, 2013	16:30	US	US DOE Gasoline Inventories	6717	2000	1828		Chart
Wed, Dec 11, 2013	16:30	US	US DOE Refinery Utilization	0.2	0.5	3		Chart
Wed, Dec 04, 2013	16:30	US	US DOE Crude Oil Inventories	-5585	-500	2953		Chart
Wed, Dec 04, 2013	16:30	US	US DOE Distillate Inventories	2649	-1500	-1666		Chart
Wed, Dec 04, 2013	16:30	US	US DOE Gasoline Inventories	1828	1250	1751		Chart
Wed, Dec 04, 2013	16:30	US	US DOE Refinery Utilization	3	0.6	0.8		Chart
Wed, Nov 27, 2013	16:30	US	US DOE Crude Oil Inventories	2953	750	375		Chart
Wed, Nov 27, 2013	16:30	US	US DOE Distillate Inventories	-1666	-1000	-4795		Chart
Wed, Nov 27, 2013	16:30	US	US DOE Gasoline Inventories	1751	500	-345		Chart
Wed, Nov 27, 2013	16:30	US	US DOE Refinery Utilization	0.8	0.25	-0.1		Chart
Wed, Nov 20, 2013	16:30	US	US DOE Crude Oil Inventories	375	1000	2640		Chart
Wed, Nov 20, 2013	16:30	US	US DOE Distillate Inventories	-4795	-280	-481		Chart
Wed, Nov 20, 2013	16:30	US	US DOE Gasoline Inventories	-345	-300	-838		Chart
Wed, Nov 20, 2013	16:30	US	US DOE Refinery Utilization	-0.1	0.5	1.9		Chart
Thu, Nov 14, 2013	17:00	US	US DOE Crude Oil Inventories	2640	800	1577		Chart
Thu, Nov 14, 2013	17:00	US	US DOE Distillate Inventories	-481	-1000	-4899		Chart
Thu, Nov 14, 2013	17:00	US	US DOE Gasoline Inventories	-838	-900	-3755		Chart
Thu, Nov 14, 2013	17:00	US	US DOE Refinery Utilization	1.9	0.6	-0.5		Chart
Wed, Nov 06, 2013	16:30	US	US DOE Crude Oil Inventories	1577	2100	4087		Chart
Wed, Nov 06, 2013	16:30	US	US DOE Distillate Inventories	-4899	-1500	-3058		Chart
Wed, Nov 06, 2013	16:30	US	US DOE Gasoline Inventories	-3755	-400	-1713		Chart
Wed, Nov 06, 2013	16:30	US	US DOE Refinery Utilization	-0.5	-0.23	1.4		Chart
Wed, Oct 30, 2013	15:30	US	US DOE Crude Oil Inventories	4087	2400	5246		Chart
Wed, Oct 30, 2013	15:30	US	US DOE Distillate Inventories	-3058	-1000	1537		Chart
Wed, Oct 30, 2013	15:30	US	US DOE Gasoline Inventories	-1713	-200	-1805		Chart
Wed, Oct 30, 2013	15:30	US	US DOE Refinery Utilization	1.4	0	-0.3		Chart
Wed, Oct 23, 2013	16:30	US	US DOE Crude Oil Inventories	5246	3000	3999		Chart
Wed, Oct 23, 2013	16:30	US	US DOE Distillate Inventories	1537	-1800	-1801		Chart
Wed, Oct 23, 2013	16:30	US	US DOE Gasoline Inventories	-1805	-1000	-2570		Chart
Wed, Oct 23, 2013	16:30	US	US DOE Refinery Utilization	-0.3	0.25	0.2		Chart
Mon, Oct 21, 2013	16:30	US	US DOE Crude Oil Inventories	5246	3000	3999		Chart
Mon, Oct 21, 2013	16:30	US	US DOE Distillate Inventories	1537	-1800	-1801		Chart
Mon, Oct 21, 2013	16:30	US	US DOE Gasoline Inventories	-1805	-1000	-2570		Chart
Mon, Oct 21, 2013	16:30	US	US DOE Refinery Utilization	-0.3	0.25	0.2		Chart
Wed, Oct 09, 2013	16:30	US	US DOE Crude Oil Inventories	6807	1550	5472		Chart
Wed, Oct 09, 2013	16:30	US	US DOE Distillate Inventories	-3141	-1150	-1680		Chart
Wed, Oct 09, 2013	16:30	US	US DOE Gasoline Inventories	149	1050	3495		Chart
Wed, Oct 09, 2013	16:30	US	US DOE Refinery Utilization	-3	-1	-1.3		Chart
Wed, Oct 02, 2013	16:30	US	US DOE Crude Oil Inventories	5472	2500	2635		Chart
Wed, Oct 02, 2013	16:30	US	US DOE Distillate Inventories	-1680	-1000	-234		Chart
Wed, Oct 02, 2013	16:30	US	US DOE Gasoline Inventories	3495	-700	217		Chart
Wed, Oct 02, 2013	16:30	US	US DOE Refinery Utilization	-1.3	-0.95	-2.2		Chart
Wed, Sep 25, 2013	16:30	US	US DOE Crude Oil Inventories	2635	-1000	-4368		Chart
Wed, Sep 25, 2013	16:30	US	US DOE Distillate Inventories	-234	-925	-1079		Chart
Wed, Sep 25, 2013	16:30	US	US DOE Gasoline Inventories	217	-750	-1627		Chart
Wed, Sep 25, 2013	16:30	US	US DOE Refinery Utilization	-2.2	-0.88	0		Chart
Wed, Sep 18, 2013	16:30	US	US DOE Crude Oil Inventories	-4368	-1200	-219		Chart
Wed, Sep 18, 2013	16:30	US	US DOE Distillate Inventories	-1079	500	2586		Chart
Wed, Sep 18, 2013	16:30	US	US DOE Gasoline Inventories	-1627	500	1658		Chart
Wed, Sep 18, 2013	16:30	US	US DOE Refinery Utilization	0	-0.5	0.8		Chart
Wed, Sep 11, 2013	16:30	US	US DOE Crude Oil Inventories	-219	-2100	-1836		Chart
Wed, Sep 11, 2013	16:30	US	US DOE Distillate Inventories	2586	600	549		Chart
Wed, Sep 11, 2013	16:30	US	US DOE Gasoline Inventories	1658	-1000	-1827		Chart
Wed, Sep 11, 2013	16:30	US	US DOE Refinery Utilization	0.8	-0.9	0.5		Chart
Thu, Sep 05, 2013	17:00	US	US DOE Crude Oil Inventories	-1836	-2000	2986		Chart
Thu, Sep 05, 2013	17:00	US	US DOE Distillate Inventories	549	600	-316		Chart
Thu, Sep 05, 2013	17:00	US	US DOE Gasoline Inventories	-1827	-700	-587		Chart
Thu, Sep 05, 2013	17:00	US	US DOE Refinery Utilization	0.5	-0.5	0.2		Chart
Wed, Aug 28, 2013	16:30	US	US DOE Crude Oil Inventories	2986	750	-1428		Chart
Wed, Aug 28, 2013	16:30	US	US DOE Distillate Inventories	-316	550	871		Chart
Wed, Aug 28, 2013	16:30	US	US DOE Gasoline Inventories	-587	-1375	-4029		Chart
Wed, Aug 28, 2013	16:30	US	US DOE Refinery Utilization	0.2	-0.25	1.6		Chart
Wed, Aug 21, 2013	16:30	US	US DOE Crude Oil Inventories	-1428	-1500	-2812		Chart
Wed, Aug 21, 2013	16:30	US	US DOE Distillate Inventories	871	1000	2027		Chart
Wed, Aug 21, 2013	16:30	US	US DOE Gasoline Inventories	-4029	-1500	-1169		Chart
Wed, Aug 21, 2013	16:30	US	US DOE Refinery Utilization	1.6	-0.5	-1.5		Chart
Wed, Aug 14, 2013	16:30	US	US DOE Crude Oil Inventories	-2812	-1500	-1320		Chart
Wed, Aug 14, 2013	16:30	US	US DOE Distillate Inventories	2027	1000	469		Chart
Wed, Aug 14, 2013	16:30	US	US DOE Gasoline Inventories	-1169	-1600	135		Chart
Wed, Aug 14, 2013	16:30	US	US DOE Refinery Utilization	-1.5	-0.2	-0.4		Chart
Wed, Aug 07, 2013	16:30	US	US DOE Crude Oil Inventories	-1320	-1500	431		Chart
Wed, Aug 07, 2013	16:30	US	US DOE Distillate Inventories	469	0	-466		Chart
Wed, Aug 07, 2013	16:30	US	US DOE Gasoline Inventories	135	-500	770		Chart
Wed, Aug 07, 2013	16:30	US	US DOE Refinery Utilization	-0.4	-0.3	-1		Chart
Wed, Jul 31, 2013	16:30	US	US DOE Crude Oil Inventories	431	-2450	-2825		Chart
Wed, Jul 31, 2013	16:30	US	US DOE Distillate Inventories	-466	450	-1227		Chart
Wed, Jul 31, 2013	16:30	US	US DOE Gasoline Inventories	770	-1500	-1389		Chart
Wed, Jul 31, 2013	16:30	US	US DOE Refinery Utilization	-1	-0.2	-0.5		Chart
Wed, Jul 24, 2013	16:30	US	US DOE Crude Oil Inventories	-2825	-2800	-6902		Chart
Wed, Jul 24, 2013	16:30	US	US DOE Distillate Inventories	-1227	1850	3870		Chart
Wed, Jul 24, 2013	16:30	US	US DOE Gasoline Inventories	-1389	1650	3055		Chart
Wed, Jul 24, 2013	16:30	US	US DOE Refinery Utilization	-0.5	-0.3	0.4		Chart
Wed, Jul 17, 2013	16:30	US	US DOE Crude Oil Inventories	-6902	-2000	-9874		Chart
Wed, Jul 17, 2013	16:30	US	US DOE Distillate Inventories	3870	1500	3038		Chart
Wed, Jul 17, 2013	16:30	US	US DOE Gasoline Inventories	3055	-1500	-2634		Chart
Wed, Jul 17, 2013	16:30	US	US DOE Refinery Utilization	0.4	-0.4	0.2		Chart
Wed, Jul 10, 2013	16:30	US	US DOE Crude Oil Inventories	-9874	-3200	-10347		Chart
Wed, Jul 10, 2013	16:30	US	US DOE Distillate Inventories	3038	1000	-2418		Chart
Wed, Jul 10, 2013	16:30	US	US DOE Gasoline Inventories	-2634	1000	-1719		Chart
Wed, Jul 10, 2013	16:30	US	US DOE Refinery Utilization	0.2	0.2	2		Chart
Wed, Jul 03, 2013	16:30	US	US DOE Crude Oil Inventories	-10347	-2250	18		Chart
Wed, Jul 03, 2013	16:30	US	US DOE Distillate Inventories	-2418	1000	1567		Chart
Wed, Jul 03, 2013	16:30	US	US DOE Gasoline Inventories	-1719	700	3653		Chart
Wed, Jul 03, 2013	16:30	US	US DOE Refinery Utilization	2	0.5	0.9		Chart
Wed, Jun 26, 2013	16:30	US	US DOE Crude Oil Inventories	18	-1750	313		Chart
Wed, Jun 26, 2013	16:30	US	US DOE Distillate Inventories	1567	650	-489		Chart
Wed, Jun 26, 2013	16:30	US	US DOE Gasoline Inventories	3653	875	183		Chart
Wed, Jun 26, 2013	16:30	US	US DOE Refinery Utilization	0.9	0.25	1.8		Chart
Wed, Jun 19, 2013	16:30	US	US DOE Crude Oil Inventories	313	-500	2523		Chart
Wed, Jun 19, 2013	16:30	US	US DOE Distillate Inventories	-489	925	-1163		Chart
Wed, Jun 19, 2013	16:30	US	US DOE Gasoline Inventories	183	750	2748		Chart
Wed, Jun 19, 2013	16:30	US	US DOE Refinery Utilization	1.8	0.5	-0.9		Chart
Wed, Jun 12, 2013	16:30	US	US DOE Crude Oil Inventories	2523	-1500	-6267		Chart
Wed, Jun 12, 2013	16:30	US	US DOE Distillate Inventories	-1163	1500	2611		Chart
Wed, Jun 12, 2013	16:30	US	US DOE Gasoline Inventories	2748	500	-366		Chart
Wed, Jun 12, 2013	16:30	US	US DOE Refinery Utilization	-0.9	0.3	2		Chart
Wed, Jun 05, 2013	16:30	US	US DOE Crude Oil Inventories	-6267	-800	3000		Chart
Wed, Jun 05, 2013	16:30	US	US DOE Distillate Inventories	2611	1400	1851		Chart
Wed, Jun 05, 2013	16:30	US	US DOE Gasoline Inventories	-366	1000	-1514		Chart
Wed, Jun 05, 2013	16:30	US	US DOE Refinery Utilization	2	0.6	-0.9		Chart
Thu, May 30, 2013	17:00	US	US DOE Crude Oil Inventories	3000	-500	-338		Chart
Thu, May 30, 2013	17:00	US	US DOE Distillate Inventories	1851	-450	-1052		Chart
Thu, May 30, 2013	17:00	US	US DOE Gasoline Inventories	-1514	-500	3015		Chart
Thu, May 30, 2013	17:00	US	US DOE Refinery Utilization	-0.9	0.3	-0.7		Chart
Wed, May 22, 2013	16:30	US	US DOE Crude Oil Inventories	-338	-1000	-624		Chart
Wed, May 22, 2013	16:30	US	US DOE Distillate Inventories	-1052	1000	2300		Chart
Wed, May 22, 2013	16:30	US	US DOE Gasoline Inventories	3015	-300	2588		Chart
Wed, May 22, 2013	16:30	US	US DOE Refinery Utilization	-0.7	0.5	1		Chart
Wed, May 15, 2013	16:30	US	US DOE Crude Oil Inventories	-624	450	230		Chart
Wed, May 15, 2013	16:30	US	US DOE Distillate Inventories	2300	475	1812		Chart
Wed, May 15, 2013	16:30	US	US DOE Gasoline Inventories	2588	-1100	-910		Chart
Wed, May 15, 2013	16:30	US	US DOE Refinery Utilization	1	0.5	2.6		Chart
